,0,1,2,3,4,5
1121753,4,1974219075,Sat May 30 12:40:50 PDT 2009,NO_QUERY,saskiasandra,my window is open and it begin to dawn 
1380194,4,2052215614,Sat Jun 06 00:00:50 PDT 2009,NO_QUERY,BridgetVogel,Jac &amp; I finally have a living room &amp; are enjoying good roommate time 
537295,0,2198719348,Tue Jun 16 16:28:27 PDT 2009,NO_QUERY,SimplyLynne,@sdotspider LAME!!!! Lol if you killed the most amazing person in the world than I would be dead  LOL
833861,4,1557840596,Sun Apr 19 06:14:22 PDT 2009,NO_QUERY,bluebonnetfield,@sandy_faye Aww...hope it's off to a great start!! 
403621,0,2058216367,Sat Jun 06 14:29:58 PDT 2009,NO_QUERY,xohanna,@jennypoynter  the Saturdays boards might have something
1551982,4,2184253839,Mon Jun 15 15:38:33 PDT 2009,NO_QUERY,gettingfreedom,"@lynnskitchenadv @bearx10 Good to know--thanks!  Now, if I could just convince hubby that buying the grinder is a good plan. "
1321175,4,2014664456,Wed Jun 03 02:16:38 PDT 2009,NO_QUERY,johnpavlich,@juliebenz Just dropping in to say I watched Saw V last week and thought you were solid. Good job! 
1192742,4,1984123552,Sun May 31 14:29:20 PDT 2009,NO_QUERY,DejaRiley,@NIAISFINE thank you very much  yes @niariley is gorgeous....i love her very much :-D thanks for the support!
1155409,4,1979006576,Sun May 31 01:15:48 PDT 2009,NO_QUERY,jessicaconnell,Reading  I'm about to finish this book 
543941,0,2200935260,Tue Jun 16 19:34:44 PDT 2009,NO_QUERY,lizziep03,come on phillies...make them EARN the runs...seriously 
1138112,4,1976810843,Sat May 30 19:08:43 PDT 2009,NO_QUERY,AlyxxDione,I recorded 10 songs n three days. My voice is :-/ so I'm on vocal rest  but yea the songs are bizzzzzomb! 
1495898,4,2070003435,Sun Jun 07 16:55:41 PDT 2009,NO_QUERY,DanniCali,Goin to the mall wit My Bestie and spending all My grad money Lol 
1175507,4,1981114579,Sun May 31 08:27:03 PDT 2009,NO_QUERY,antontabuena,@mmanation sure thing.. It's gonna be on July and I am definitely planning to attend it.. I'll keep you guys posted. 
639401,0,2234713953,Thu Jun 18 23:35:51 PDT 2009,NO_QUERY,stacyduhh,im sad cause i might be moving 
820112,4,1553616257,Sat Apr 18 14:44:57 PDT 2009,NO_QUERY,only_jay,Has had such a good end to the week. Met Papa Roach and ace night last night 
510127,0,2189576416,Tue Jun 16 00:21:56 PDT 2009,NO_QUERY,dindahh,@ohmonika I really wished I live closer to Bowen now 
982433,4,1834202576,Mon May 18 02:01:26 PDT 2009,NO_QUERY,KaSarah,@ThisismyiQ Im up 
1277236,4,2001299416,Tue Jun 02 00:26:23 PDT 2009,NO_QUERY,TonjampaeAmat,@pradprathivi Ahhh Congrats Prad! Those guys make really nice t-shirts 
565312,0,2206473013,Wed Jun 17 06:35:50 PDT 2009,NO_QUERY,_j3llyb3an_,"sooooo tired, couldnt sleep. "
1367222,4,2050361595,Fri Jun 05 18:31:59 PDT 2009,NO_QUERY,mdufort,@cfd Wow payant ixmedia 
1059783,4,1963307474,Fri May 29 12:31:33 PDT 2009,NO_QUERY,michelledh,Thanks to all my #followfriday shout outs and hey to all new followers 
1223774,4,1990458478,Mon Jun 01 04:55:37 PDT 2009,NO_QUERY,arafiazaed,http://www.flickr.com/photos/arafiazaid/ - UPDATED 
734314,0,2264524730,Sun Jun 21 04:08:44 PDT 2009,NO_QUERY,superlativemind,Disappointed that the boots I wanted on eBay sold for more than I expected. I probably did not NEED said boots. But they were so pretty 
1532059,4,2178168113,Mon Jun 15 07:17:49 PDT 2009,NO_QUERY,josieinthecity,@BreakThruGuy Hey sweetness! Good day to YOU my friend. Thank you. I will make sure I have fun today. You do the same hon. 
338907,0,2014533641,Wed Jun 03 01:51:11 PDT 2009,NO_QUERY,ohmysem,"@CHELLETASTIC Poor Kovu  its so sad, no kitty deserves to go through that. glad hes no longer suffering &amp; can be happy now xx"
1423447,4,2058691360,Sat Jun 06 15:26:29 PDT 2009,NO_QUERY,gtvone,@peter_demetris ....I wish I were as cool as you.  
1427090,4,2059332332,Sat Jun 06 16:43:08 PDT 2009,NO_QUERY,margowillis,"Taking Admin timeout, no appts today, just got my palm Pre phone, now in the midst of learning curb + fun "
1473347,4,2065541760,Sun Jun 07 08:48:30 PDT 2009,NO_QUERY,LoopyAppleCaron,I just found out this photo day is going on 5 mins from me and there's a place left. Guess what I'm doing tomorrrow  http://tiny.cc/8LLB5
204301,0,1972583581,Sat May 30 09:30:01 PDT 2009,NO_QUERY,safeinacrowd,Making banana pancakes without Esther 
40289,0,1573748344,Tue Apr 21 02:40:18 PDT 2009,NO_QUERY,whitelight007,@shaktijs gavar .........   i dont like gavar how can you eat that
268405,0,1989397986,Mon Jun 01 01:23:31 PDT 2009,NO_QUERY,RealJLynnSpears,Sick...Me and Maddie Feel Like Crap 
684333,0,2250503423,Sat Jun 20 00:41:50 PDT 2009,NO_QUERY,wentzhol,cut my finger 
1097364,4,1970388529,Sat May 30 03:40:04 PDT 2009,NO_QUERY,combustiblesong, i looked up another one
407493,0,2059190012,Sat Jun 06 16:25:48 PDT 2009,NO_QUERY,lilsam321,is reallyl annoyed to be home  and is so bored right now it is unbelievable
940084,4,1793851425,Thu May 14 04:12:00 PDT 2009,NO_QUERY,drivenidealist,"Good morning everyone!! DC isn't all that sunny today, but it's still a good day! Don't let precipitation get you down!  "
756323,0,2288687093,Mon Jun 22 19:29:15 PDT 2009,NO_QUERY,yvonnly,"I'm so tired, i'm having trouble keeping my eyes open and my thoughts clear.  30hrs  no sleep  is driving of crazy "
1336768,4,2017400689,Wed Jun 03 08:19:51 PDT 2009,NO_QUERY,alexisstar22,@JAZZII3love lol! i hate loads of button i wud just av complettely messed up lol! lucky u!! 
983881,4,1834332453,Mon May 18 02:31:51 PDT 2009,NO_QUERY,cheyannejo,@grayjon guess it depends on what kindve entertainment you're in the mood for...though who knows how long the hallway action will last! 
712306,0,2258493538,Sat Jun 20 16:00:58 PDT 2009,NO_QUERY,EmziWemzie,@PollyRodgers Yuppp market   BYEEEE x
1206874,4,1986903644,Sun May 31 19:29:21 PDT 2009,NO_QUERY,sabrinabrinaxo,I love Vanessa Hudgens' dress. it's a citrus color  haha.
466111,0,2175493333,Mon Jun 15 01:08:31 PDT 2009,NO_QUERY,jenmateo04,"crunch time: 5 months to go, still in search for wedding suppliers "
1590027,4,2191326886,Tue Jun 16 05:02:19 PDT 2009,NO_QUERY,Jecsa,"@altyris hahaha, really? Just seems to be a normal day in my world  whats confused you so very much?!"
333009,0,2013193197,Tue Jun 02 22:06:54 PDT 2009,NO_QUERY,optimus_pam,"Doctor: See the face here, this vertebrae is missing that &quot;face.&quot; Basically I have a deformed vertebrae "
551146,0,2203088264,Tue Jun 16 23:00:22 PDT 2009,NO_QUERY,kalenab,Going to bed. Gah my parents are so annoying 
492532,0,2184287252,Mon Jun 15 15:41:24 PDT 2009,NO_QUERY,jdpeck16,@hollymadison123 I can't get it to pull up. 
662111,0,2243483638,Fri Jun 19 13:30:27 PDT 2009,NO_QUERY,sammy_grand,http://is.gd/16BB8 Does this mean I can't eat cookie dough anymore? Tollhouse is always better than Pillsbury 
385695,0,2053657960,Sat Jun 06 05:17:41 PDT 2009,NO_QUERY,IllBeatz2009,mourning....My next door neighbour died last nite  (R.I.P)
69258,0,1693209062,Sun May 03 21:52:03 PDT 2009,NO_QUERY,valval24244,i wish he would believe me 
683145,0,2250187853,Fri Jun 19 23:54:42 PDT 2009,NO_QUERY,lovelylestie,I shouldn't have answered the phone 
1014963,4,1881502832,Fri May 22 04:50:19 PDT 2009,NO_QUERY,margie_pants,"WOW, memories again,   ? http://blip.fm/~6t31f"
965556,4,1827618154,Sun May 17 11:05:24 PDT 2009,NO_QUERY,ConiPoynter,@thebrandicyrus http://twitpic.com/5dcka - soo cute 
4525,0,1468843770,Tue Apr 07 04:01:27 PDT 2009,NO_QUERY,greenturrrtles,Stupid schoool. Dnt wanna gooooo.  rah. Less than 3 more monthsssss. and3 more days till spreeng brake!   x__x
1105295,4,1971269727,Sat May 30 06:40:54 PDT 2009,NO_QUERY,KatieSweitzer,fishy things happening today 
220976,0,1976739434,Sat May 30 18:55:34 PDT 2009,NO_QUERY,deveronie,"@banjoist123 no way can anyone stop king James, but he may be able to stop the cavs "
1179733,4,1981788268,Sun May 31 09:53:40 PDT 2009,NO_QUERY,daveingland,i just found out that Andy Richter is re-joining Conan for The Tonight Show...now I gotsta watch it fo sho  http://bit.ly/7UGZG
1063103,4,1964374010,Fri May 29 14:08:05 PDT 2009,NO_QUERY,mbowman2,@nuzehound Wish I was in MQT! 
117293,0,1827611872,Sun May 17 11:04:37 PDT 2009,NO_QUERY,zarilyjewelry,"@EtsyDeals what movie did you see? Having a toddler, I never get to see them at the theater anymore "
917735,4,1753534563,Sun May 10 02:07:31 PDT 2009,NO_QUERY,mandagoforth,@fiercemichi well that's good  and i'm a fast learner. Mmm  Zachary...be prepared 4 me t randomly mention him at any given time. he yummy.
1159806,4,1979376242,Sun May 31 02:46:44 PDT 2009,NO_QUERY,nigs,"@poohsuke Hi Momo, Hope you had a lovely time with your friends. Today is my last day for tweeting for a few weeks but I'll be back "
330861,0,2012471863,Tue Jun 02 20:42:41 PDT 2009,NO_QUERY,CollegeLoveEnt,@eKir my phone is dead meat 
1427590,4,2059415247,Sat Jun 06 16:53:17 PDT 2009,NO_QUERY,JusRite,Chillen out in the Bronx 
167007,0,1961520431,Fri May 29 09:37:45 PDT 2009,NO_QUERY,sonyagold,@theHUBnyc there is no sale in Botega... 
611623,0,2224644735,Thu Jun 18 09:45:24 PDT 2009,NO_QUERY,idaqq,"tired, i would love to see metro station todaay, but i caaaan't ! "
277280,0,1991236710,Mon Jun 01 06:39:57 PDT 2009,NO_QUERY,juliamari,i really really really miss you  i hate this math's homework
2260,0,1468339324,Tue Apr 07 01:04:06 PDT 2009,NO_QUERY,megannepearson,cant be bothered gwtting dressed  x
932010,4,1770979745,Mon May 11 22:48:49 PDT 2009,NO_QUERY,tallivansunder,I am off to bed.  Plan on waking up early to workout! Good night everyone! Sweet dreams. 
1462879,4,2064077315,Sun Jun 07 05:08:41 PDT 2009,NO_QUERY,MeliMelzzzz,@FlipAcE me too! #eu09 
318620,0,2002861669,Tue Jun 02 05:20:32 PDT 2009,NO_QUERY,Garfield1974,glorious weather outside! back in the office now 
1599845,4,2193552312,Tue Jun 16 08:36:46 PDT 2009,NO_QUERY,diegoBraganca,@CatyFairy revolta follower hj? 
312427,0,2001527468,Tue Jun 02 01:10:46 PDT 2009,NO_QUERY,GlitterGirlNZ,bah i have hayfever  trying to hide my sunburn with my hair....really not working though
1295915,4,2003877080,Tue Jun 02 07:17:56 PDT 2009,NO_QUERY,PupaKat,@shastrip it's magic! the cappuccino made the drilling go away 
689424,0,2251761285,Sat Jun 20 04:30:11 PDT 2009,NO_QUERY,midgetbrains,Wondering which Dashboard Confessional songs to buy. They all sound amazing 
762912,0,2298091928,Tue Jun 23 11:14:47 PDT 2009,NO_QUERY,T_XaNa,OMFG my dad is going to Afeghanistan 
183651,0,1967481089,Fri May 29 19:39:38 PDT 2009,NO_QUERY,KyleGallienne,"Doesn't have a face now, thanks twitter. "
121690,0,1833563878,Sun May 17 23:41:43 PDT 2009,NO_QUERY,fyrestorme,@smegatron don't have a fro.... tho my hair IS evil and thick and STILL don't have a tshirthell shirt  but i'll take the $47 4 my birthday
15698,0,1554461032,Sat Apr 18 17:03:29 PDT 2009,NO_QUERY,JennyJunie,"@jennifermf Aw, I got all excited from your tweet to she_writes, hehe. But yeah, I miss full-service gas stations. "
1251787,4,1996577256,Mon Jun 01 15:19:14 PDT 2009,NO_QUERY,lottierox15,"&quot;Good things like you, don't happen to people like me&quot;  such a good song.. Love it"
309265,0,2000867956,Mon Jun 01 23:10:39 PDT 2009,NO_QUERY,Tangoberry,@anasianaffair you should find more free time  well if i remember to take a picture ill show you
157390,0,1956364755,Thu May 28 21:43:21 PDT 2009,NO_QUERY,snipeyhead,@gNotapipe I'm on a Mac - I have to use Crossover for Mac to run IE6 to test 
554168,0,2203791123,Wed Jun 17 00:32:34 PDT 2009,NO_QUERY,Jess_sick_kuhhh,haha i hope he doesnt kill us 
738175,0,2265406054,Sun Jun 21 06:30:41 PDT 2009,NO_QUERY,xCurlyWurlyx,I think IÂ´ll go now not much going on in here! 
1465141,4,2064316371,Sun Jun 07 05:55:14 PDT 2009,NO_QUERY,rachellock22,I just realized it sunny out 
254119,0,1984154181,Sun May 31 14:32:49 PDT 2009,NO_QUERY,MeMusicstore,I'm on my way to the liquor store!!!! I can't study cuz my brother talks 2 much 
270202,0,1989776789,Mon Jun 01 02:46:20 PDT 2009,NO_QUERY,illumedbeauty,"@JessicaPinup awww I hope you feel better soon, its sad you had to go home "
248167,0,1982647888,Sun May 31 11:37:35 PDT 2009,NO_QUERY,EmilyMarieox,@sophieholly i hate waiting and seeing  xx
1134696,4,1976380803,Sat May 30 17:12:07 PDT 2009,NO_QUERY,Surfinthesun,@vikkiannx oh that makes sense  me two i like the hairstyle he has now but i thought i was the only one that liked it lol
417235,0,2061489507,Sat Jun 06 20:58:47 PDT 2009,NO_QUERY,devindennis,i wish this story had a better ending  but then it wouldn't be as amazing as it is to this day!
1450600,4,2062955514,Sun Jun 07 00:52:05 PDT 2009,NO_QUERY,mirl,Thanks for #samesexsunday @maxime68! I read your latest blog post--it sounds like the thoughts of a responsible citizen. 
332687,0,2013098618,Tue Jun 02 21:55:03 PDT 2009,NO_QUERY,beerenee,@LolaAM   so wat i do now juss wait for it to pop up? it said its upload...whats a chick2do
404110,0,2058347910,Sat Jun 06 14:45:33 PDT 2009,NO_QUERY,Dolly61,Handy hint. The roads are too plentiful in the city of London for a sat nav to be effective. That's my theory for driving round for ages 
1044380,4,1957433975,Fri May 29 00:29:28 PDT 2009,NO_QUERY,Noulath,Hm.. I think I need vacations... Next week only school this will be nice  No work then http://yfrog.com/e1e71j
1133765,4,1976228701,Sat May 30 16:52:08 PDT 2009,NO_QUERY,Antirealist,"@alwysabridesmd oh, i don't know about that. maybe have some cheese with those crackers, and i'd call it dinner. "
680104,0,2249405553,Fri Jun 19 22:16:05 PDT 2009,NO_QUERY,staceysuka,@defunkd i had that gary numan tee in high school. like every tee i had back then - wish i never threw out 
92468,0,1760065434,Sun May 10 20:35:07 PDT 2009,NO_QUERY,meaghanbrittni,I hate unpacking 
1112571,4,1972437731,Sat May 30 09:13:26 PDT 2009,NO_QUERY,geospizafortis,"Back from town with contacts lenses, anniv ed john martyn solid air and wind up radio "
1591645,4,2191599197,Tue Jun 16 05:36:24 PDT 2009,NO_QUERY,YonkasYoyo,By now practising my transverse flute...got a new one yesterday  ..school things still have to be done...and whats with this fucking boy?
86369,0,1754095938,Sun May 10 04:57:35 PDT 2009,NO_QUERY,mischabcom,@lukegrimesnet Can't fricken wait! Still sad that Julia is gone  And I kinda hate that Kitty's affair is over.
1398496,4,2054111485,Sat Jun 06 06:35:09 PDT 2009,NO_QUERY,sinisterspark,@coffeeandnaicha I only saw them today via Channel V! Did you see this clip? Check the uploader's comment  http://tiny.cc/6gA41
880350,4,1685624668,Sun May 03 01:15:21 PDT 2009,NO_QUERY,manishsinha,@apoorvkhatreja OH. You in 2nd sem.. i forgot we too had this... Continue continue.. 
773826,0,2306250661,Tue Jun 23 22:01:44 PDT 2009,NO_QUERY,ashley_nicolexx,"@ShelbyLynn1994 erg, i cant send it "
492856,0,2184412326,Mon Jun 15 15:52:24 PDT 2009,NO_QUERY,BlissBadger,"tell us, squeak? "
1543700,4,2181496637,Mon Jun 15 11:54:29 PDT 2009,NO_QUERY,chelseh,"summertime, and the livings easy. going shopping "
1500637,4,2071221416,Sun Jun 07 19:02:18 PDT 2009,NO_QUERY,Frenchygeee,Is so excited @Makgirly24 joined twitterrrr 
520157,0,2192031629,Tue Jun 16 06:23:38 PDT 2009,NO_QUERY,jonasgirlie,@destenee http://twitpic.com/6wz4v - i kinda miss school already 
1528980,4,2177484036,Mon Jun 15 06:11:12 PDT 2009,NO_QUERY,MRAscan,@Ohdoctah i'd prefer tea but hey coffee is okay too 
342529,0,2015275222,Wed Jun 03 04:12:50 PDT 2009,NO_QUERY,xbaybehh,says my throat is dry and uncomfy  http://plurk.com/p/y44ca
575016,0,2210805856,Wed Jun 17 12:02:43 PDT 2009,NO_QUERY,vozenpop,"@StrikerObi The 3Gs speed is stunning, my iPhone looks archaic now. "
439032,0,2066332317,Sun Jun 07 10:19:10 PDT 2009,NO_QUERY,Knowncolor,It was be pwned. 
772363,0,2302731874,Tue Jun 23 17:13:06 PDT 2009,NO_QUERY,carolvela,so upset im missin the realbhousewives of nj reunion bc of class 
532458,0,2196746540,Tue Jun 16 12:52:43 PDT 2009,NO_QUERY,xallysa,i don't know what i want. 
117618,0,1827672530,Sun May 17 11:12:18 PDT 2009,NO_QUERY,papascott,"crn with 39ï¿½C fever, that's over 102ï¿½F "
650822,0,2237691596,Fri Jun 19 06:12:46 PDT 2009,NO_QUERY,pixelatedimage,@danielak -I know! Sorry  we've just boarded our flight to NYC so if we don't talk this wknd have a spectacular trip!!
937303,4,1793202557,Thu May 14 01:46:24 PDT 2009,NO_QUERY,PlayboyManager,I need it!!! 
558135,0,2204680100,Wed Jun 17 02:51:18 PDT 2009,NO_QUERY,Jackzy,Had some weird/strange dreams 
1518446,4,2175964661,Mon Jun 15 02:31:02 PDT 2009,NO_QUERY,Damir,"@tbronzin traveling around the world, meeting people, teaching them ... cool! "
631333,0,2232292733,Thu Jun 18 19:42:51 PDT 2009,NO_QUERY,Ashleyyy57,They think im the outside sister 
220390,0,1976613542,Sat May 30 18:35:03 PDT 2009,NO_QUERY,superallison526,@ my new house in escondido unpacking 
1188386,4,1983326784,Sun May 31 12:56:41 PDT 2009,NO_QUERY,niiicolebby,@promisepromise so nervous im suprised i havent fainted  you?
1360049,4,2048594078,Fri Jun 05 15:27:22 PDT 2009,NO_QUERY,ArmoryMassage,@kelvinringold You as well sir 
1322762,4,2014832873,Wed Jun 03 02:50:16 PDT 2009,NO_QUERY,KatieBeeThatsMe,"@Jullita birthday', i hope you have an amazing day!!! Hehe, i love dancing too "
901452,4,1694238722,Mon May 04 01:42:36 PDT 2009,NO_QUERY,Liberal72,@unreal_g: I`ve been sneezing and felt like a train-wreck for the last two weeks myself. But it`s not piggystuff.  So we`re good then.
314048,0,2001890815,Tue Jun 02 02:26:01 PDT 2009,NO_QUERY,weiwitch,@saritaonline awww that's sad.  how old is your daughter? mine's 12 and the longest we've been apart is 2 months.
632508,0,2232693845,Thu Jun 18 20:15:42 PDT 2009,NO_QUERY,Taijitukaizen,ok lemme end with this quote &quot; excuses are worst than lies&quot; &lt;--forgot who said it  hahaha brain dead@dis point
720174,0,2260812821,Sat Jun 20 19:48:46 PDT 2009,NO_QUERY,MrsKPalm,I'm so sad because I left my blue travel mug in the lighting booth and it disappeared. Has anyone seen it up there? 
147602,0,1882848510,Fri May 22 07:35:20 PDT 2009,NO_QUERY,EliteElla,I think my leg is dislocated  bon fire today and i get to see zooch
1084479,4,1969005487,Fri May 29 22:46:29 PDT 2009,NO_QUERY,blakenetizen,nothing like an mini ebay shopping spree to lighten up my mood 
1201958,4,1985769867,Sun May 31 17:44:19 PDT 2009,NO_QUERY,Sambo101,"Today was good and bad, saw grease and thought it was so good. Doing homework and studying for exams now. "
826042,4,1556590660,Sat Apr 18 23:27:58 PDT 2009,NO_QUERY,UncoolRockstar,I do love that Melissa knows every single lyric - even to the new stuff off the upcoming album! Good times 
624586,0,2229944570,Thu Jun 18 16:25:33 PDT 2009,NO_QUERY,dawngleeson,Why are you boys just so confusing  Beats me
1470790,4,2065103846,Sun Jun 07 07:54:06 PDT 2009,NO_QUERY,PatrickAnna,Anna is trying to straighten up the Leaning Tower of Pisa...  http://snipr.com/jedwo
1477633,4,2066336534,Sun Jun 07 10:19:39 PDT 2009,NO_QUERY,tristanray,"At church, always reminding myself to put my phone on vibrate "
461258,0,2174404138,Sun Jun 14 22:28:59 PDT 2009,NO_QUERY,lauralovesart,@jennicricket ahem...you're not following me 
408600,0,2059442314,Sat Jun 06 16:56:41 PDT 2009,NO_QUERY,spacemodulator,Coud cover here in SE Lower Michigan so no occultation viewing from my area &amp; probably no meteor shower in the morning either 
293778,0,1996413980,Mon Jun 01 15:02:40 PDT 2009,NO_QUERY,tegarnnnn,my teeth hurt 
959844,4,1826177829,Sun May 17 07:52:45 PDT 2009,NO_QUERY,com212bmuto09,'s birthday is tomorrowww 
896914,4,1693178827,Sun May 03 21:46:58 PDT 2009,NO_QUERY,Lisamarie61,@cozmicjunkyard Nite Brad 
1426215,4,2059183102,Sat Jun 06 16:24:57 PDT 2009,NO_QUERY,xAllThatRemains,chicken soup made me feel a little bit better 
805470,4,1468669529,Tue Apr 07 03:03:56 PDT 2009,NO_QUERY,developar,"@kishorcariappa Don't worry, I have more than 10 defense plans, trying the 1st plan now "
